counterparty_id,name,counterparty_type,country,date_of_birth,registration_number
CP-0001,Lei Chou,individual,SG,1957-12-15,
CP-0002,Husein El-Rashid,individual,LB,1972-04-08,
CP-0003,Mohammed Nasser,individual,EG,1962-02-08,
CP-0004,Evergreen Textiles JSC,entity,KZ,,A7610562
CP-0005,Blake Thomas,individual,CA,1971-09-28,
CP-0006,Harbor Holdings Ltd,entity,GB,,G6492066
CP-0007,Pinecrest Shipping FZE,entity,AE,,C9310235
CP-0008,Tidewater Holdings FZE,entity,AE,,H8344375
CP-0009,Oleksandr Zaytsev,individual,RU,1982-01-01,
CP-0010,Mikhail Morozov,individual,RU,1964-12-21,
CP-0011,Omar Mansour,individual,EG,1991-07-23,
CP-0012,Keystone Textiles LLC,entity,US,,H1257489
CP-0013,Khalid Mansour,individual,SA,1979-07-23,
CP-0014,  Atlas Technologies Limited ,entity,HK,,B1689025
CP-0015,Mohammed Qasim,individual,JO,1994-03-20,
CP-0016,Lei Zhang,individual,HK,1991-04-26,
CP-0017,Raúl Gutiérrez,individual,MX,1984-02-05,
CP-0018,José Ramírez,individual,PA,1971-06-06,
CP-0019,Beacon Minerals LLC,entity,US,,B8990081
CP-0020,Wei Zhou,individual,CN,1966-05-23,
CP-0021,Redwood Holdings Pte. Ltd.,entity,SG,,D5652512
CP-0022,EVERGREEN LOGISTICS LLC,entity,US,,C6160869
CP-0023,Khalid Nasser,individual,LB,1982-10-20,
CP-0024,Crescent Shipping Limited,entity,GB,,C7917152
CP-0025,F. Mansour,individual,IQ,1959-07-13,
CP-0026,Raúl Gutiérrez,individual,MX,1965-06-14,
CP-0027,Reza Karimy,individual,IR,1987-03-17,
CP-0028,  Dmitri Kuznetsov ,individual,CY,1972-10-23,
CP-0029,Dmitri Kuznetsov,individual,CY,1991-10-03,
CP-0030,Silverline Technologies JSC,entity,KZ,,G8763013
CP-0031,SERGEI VOLKOV,individual,RU,1970-08-20,
CP-0032,Hossein Karimy,individual,IR,1958-04-27,
CP-0033,Lei Zhang,individual,CN,1973-04-12,
CP-0034,Falcon Textiles Ltd,entity,GB,,D2436347
CP-0035,Orion Minerals Limited,entity,HK,,G7136687
CP-0036,JUN ZHANG,individual,SG,1987-10-03,
CP-0037,FAISAL MANSOUR,individual,EG,1971-07-13,
CP-0038,Mehdi Rahimi,individual,AE,1975-04-23,
CP-0039,Crescent Capital Pte. Ltd.,entity,SG,,H9910914
CP-0040,Juniper Petrochemicals LLC,entity,US,,A6183033
CP-0041,Falcon Energy GmbH,entity,DE,,H4833486
CP-0042,Orion Energy SA,entity,PA,,H6866294
CP-0043,Evergreen Foods FZE,entity,AE,,F8031780
CP-0044,Robert Whitmore,individual,CA,1957-03-16,
CP-0045,Sergei Kuznetsoff,individual,BY,1959-10-21,
CP-0046,Orion FZE,entity,AE,,F5674183
CP-0047,Evergreen  Imports Limited,entity,HK,,H2721135
CP-0048,Javad Musavi,individual,IR,1983-10-09,
CP-0049,Pinecrest Petrochemicals Pte. Ltd.,entity,SG,,H5988757
CP-0050,Beacon Shipping Pte. Ltd.,entity,SG,,D5606980
CP-0051,Aurora  Energy LLC,entity,US,,B2686231
CP-0052,Tariq Al-Rashid,individual,SA,1964-08-23,
CP-0053,Héctor Ramírez,individual,VE,1978-05-13,
CP-0054,Meridian Technologies B.V.,entity,NL,,G2347467
CP-0055,Falcon Industries B.V.,entity,NL,,H5545223
CP-0056,Juniper Capital B.V.,entity,NL,,H2145653
CP-0057,Crescent Consulting OOO,entity,RU,,G4786401
CP-0058,Zhang Jun,individual,CN,1970-10-03,
CP-0059,Granite Textiles LLC,entity,US,,C1656695
CP-0060,Yusuf Nasser,individual,AE,1958-09-10,
CP-0061,Summit Trading FZE,entity,AE,,D3499627
CP-0062,Héctor Hernández,individual,MX,1978-05-03,
CP-0063,Raúl Gutiérrez,individual,MX,1973-12-10,
CP-0064,Wei Zhang,individual,CN,1974-04-25,
CP-0065,Silverline Maritime OOO,entity,RU,,G8043620
